id_hecho,FECHA,ROL,VICTIMA,SEXO,EDAD,FECHA_FALLECIMIENTO,DIA_DE_LA_SEMANA,semestre,ANIO,MES,DIA
2016-0125,2016-09-17,CONDUCTOR,MOTO,MASCULINO,30,5,Sábado,2,2016,9,17
2016-0126,2016-09-18,CONDUCTOR,AUTO,MASCULINO,37,5,Domingo,2,2016,9,18
2016-0126,2016-09-18,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,60,5,Domingo,2,2016,9,18
2016-0127,2016-09-24,PEATON,PEATON,MASCULINO,50,5,Sábado,2,2016,9,24
2016-0128,2016-10-02,PEATON,PEATON,FEMENINO,81,10/2/2016,Domingo,2,2016,10,2
2016-0130,2016-10-04,CONDUCTOR,MOTO,MASCULINO,29,10/4/2016,Martes,2,2016,10,4
2016-0131,2016-10-09,PEATON,PEATON,MASCULINO,35,5,Domingo,2,2016,10,9
2016-0132,2016-10-10,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,30,10/10/2016,Lunes,2,2016,10,10
2016-0133,2016-10-14,CONDUCTOR,MOTO,MASCULINO,41,10/25/2016,Viernes,2,2016,10,14
2016-0134,2016-10-23,CONDUCTOR,MOTO,MASCULINO,25,10/23/2016,Domingo,2,2016,10,23
2016-0135,2016-10-24,PEATON,PEATON,MASCULINO,29,10/25/2016,Lunes,2,2016,10,24
2016-0136,2016-10-25,CONDUCTOR,MOTO,MASCULINO,30,5,Martes,2,2016,10,25
2016-0137,2016-10-25,CONDUCTOR,MOTO,MASCULINO,30,5,Martes,2,2016,10,25
2016-0138,2016-10-27,CICLISTA,BICICLETA,FEMENINO,33,5,Jueves,2,2016,10,27
2016-0139,2016-10-28,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,35,5,Viernes,2,2016,10,28
2016-0140,2016-10-31,PASAJERO_ACOMPAÑANTE,PASAJEROS,MASCULINO,20,5,Lunes,2,2016,10,31
2016-0142,2016-11-05,CONDUCTOR,MOTO,MASCULINO,46,11/5/2016,Sábado,2,2016,11,5
2016-0143,2016-11-06,CONDUCTOR,MOTO,MASCULINO,35,5,Domingo,2,2016,11,6
2016-0144,2016-11-07,PEATON,PEATON,MASCULINO,83,5,Lunes,2,2016,11,7
2016-0145,2016-11-07,CONDUCTOR,MOTO,MASCULINO,39,11/7/2016,Lunes,2,2016,11,7
2016-0146,2016-11-09,PEATON,PEATON,FEMENINO,29,5,Miércoles,2,2016,11,9
2016-0147,2016-11-16,PASAJERO_ACOMPAÑANTE,MOVIL,MASCULINO,55,11/16/2016,Miércoles,2,2016,11,16
2016-0148,2016-11-16,CONDUCTOR,MOTO,MASCULINO,30,5,Miércoles,2,2016,11,16
2016-0150,2016-11-18,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,41,11/18/2016,Viernes,2,2016,11,18
2016-0151,2016-11-18,PEATON,PEATON,MASCULINO,30,5,Viernes,2,2016,11,18
2016-0152,2016-11-23,CONDUCTOR,MOTO,MASCULINO,42,11/24/2016,Miércoles,2,2016,11,23
2016-0153,2016-11-25,PEATON,PEATON,FEMENINO,83,11/25/2016,Viernes,2,2016,11,25
2016-0154,2016-11-26,CONDUCTOR,MOTO,MASCULINO,38,5,Sábado,2,2016,11,26
2016-0155,2016-11-26,PEATON,PEATON,FEMENINO,29,5,Sábado,2,2016,11,26
2016-0156,2016-11-26,CONDUCTOR,MOTO,MASCULINO,23,11/30/2016,Sábado,2,2016,11,26
2016-0157,2016-12-03,CONDUCTOR,MOTO,MASCULINO,23,5,Sábado,2,2016,12,3
2016-0159,2016-12-04,CONDUCTOR,AUTO,MASCULINO,23,5,Domingo,2,2016,12,4
2016-0160,2016-12-06,CONDUCTOR,CARGAS,MASCULINO,29,12/6/2016,Martes,2,2016,12,6
2016-0161,2016-12-06,PEATON,PEATON,MASCULINO,50,12/6/2016,Martes,2,2016,12,6
2016-0162,2016-12-07,PEATON,PEATON,MASCULINO,38,1/1/2017,Miércoles,2,2016,12,7
2016-0163,2016-12-10,CONDUCTOR,MOTO,MASCULINO,23,5,Sábado,2,2016,12,10
2016-0164,2016-12-11,CONDUCTOR,AUTO,MASCULINO,29,5,Domingo,2,2016,12,11
2016-0165,2016-12-12,CICLISTA,BICICLETA,MASCULINO,37,5,Lunes,2,2016,12,12
2016-0168,2016-12-13,CONDUCTOR,MOTO,MASCULINO,43,12/13/2016,Martes,2,2016,12,13
2016-0169,2016-12-15,CONDUCTOR,MOTO,MASCULINO,24,12/16/2016,Jueves,2,2016,12,15
2016-0170,2016-12-19,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,21,12/19/2016,Lunes,2,2016,12,19
2016-0171,2016-12-25,CONDUCTOR,MOTO,MASCULINO,30,5,Domingo,2,2016,12,25
2016-0172,2016-12-26,CONDUCTOR,MOTO,MASCULINO,38,12/26/2016,Lunes,2,2016,12,26
2016-0173,2016-12-26,CONDUCTOR,MOTO,MASCULINO,35,5,Lunes,2,2016,12,26
2016-0174,2016-12-27,CONDUCTOR,MOTO,MASCULINO,30,5,Martes,2,2016,12,27
2016-0175,2016-12-27,PEATON,PEATON,FEMENINO,30,5,Martes,2,2016,12,27
2016-0176,2016-12-28,CONDUCTOR,MOTO,MASCULINO,28,5,Miércoles,2,2016,12,28
2016-0177,2016-12-29,PEATON,PEATON,FEMENINO,27,5,Jueves,2,2016,12,29
2016-0178,2016-12-30,PEATON,PEATON,FEMENINO,7,5,Viernes,2,2016,12,30
2017-0001,2017-01-02,CONDUCTOR,MOTO,MASCULINO,18,1/2/2017,Lunes,1,2017,1,2
2017-0003,2017-01-05,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,33,1/5/2017,Jueves,1,2017,1,5
2017-0007,2017-01-11,PEATON,PEATON,MASCULINO,48,1/11/2017,Miércoles,1,2017,1,11
2017-0008,2017-01-16,CONDUCTOR,MOTO,MASCULINO,29,1/16/2017,Lunes,1,2017,1,16
2017-0009,2017-01-16,CONDUCTOR,MOTO,MASCULINO,36,1/16/2017,Lunes,1,2017,1,16
