ID,pos x,pos y
2018-0029,-58.47418944,-34.62049672
2018-0030,-58.46720441,-34.57905579
2018-0031,-58.46909362,-34.61779710
2018-0032,-58.44704343,-34.56888640
2018-0033,-58.50535541,-34.62902048
2018-0034,-58.40021675,-34.59522198
2018-0035,-58.46325991,-34.62919627
2018-0036,-58.49471482,-34.59694755
2018-0037,-58.39872610,-34.59975962
2018-0038,-58.38872177,-34.60885045
2018-0039,.,.
2018-0040,-58.45686132,-34.57305993
2018-0041,-58.42281627,-34.64282424
2018-0042,-58.38666024,-34.63953396
2018-0043,-58.49122843,-34.61207587
2018-0044,-58.40098306,-34.61866627
2018-0045,-58.45448963,-34.57916920
2018-0046,-58.52927982,-34.63931752
2018-0047,-58.44759966,-34.59170240
2018-0048,-58.46411215,-34.62925068
2018-0049,-58.46213220,-34.55395823
2018-0050,-58.45669422,-34.56203610
2018-0051,-58.35977160,-34.64341878
2018-0052,-58.49820145,-34.59070093
2018-0053,-58.41059280,-34.59939180
2018-0054,-58.47969138,-34.57121563
2018-0055,-58.40351561,-34.61883916
2018-0056,-58.51973844,-34.63918987
2018-0057,-58.39311376,-34.62163006
2018-0058,-58.43531242,-34.59082159
2018-0059,-58.41178165,-34.63035454
2018-0060,-58.37048800,-34.60189492
2018-0061,-58.39883882,-34.61964833
2018-0062,-58.44110156,-34.62082399
2018-0063,-58.37093138,-34.59952725
2018-0064,-58.45855262,-34.63953253
2018-0065,-58.38161909,-34.59283447
2018-0066,-58.45511899,-34.58698157
2018-0067,-58.37724226,-34.62973033
2018-0068,-58.45546217,-34.62930339
2018-0069,-58.39897064,-34.59954925
2018-0070,-58.40917826,-34.62126274
2018-0071,-58.36726348,-34.61099738
2018-0072,-58.48267426,-34.68454456
2018-0073,-58.39546165,-34.65168841
2018-0074,-58.46941984,-34.63376545
2018-0075,-58.40367321,-34.58129246
2018-0076,-58.52932872,-34.65014993
2018-0077,-58.40917826,-34.62126274
2018-0078,-58.41264127,-34.59473294
2018-0079,-58.50877521,-34.66977709
2018-0080,-58.51232237,-34.65903530
2018-0081,-58.44744156,-34.64567171
2018-0082,-58.49441273,-34.65869968
2018-0083,-58.47976785,-34.69153196
2018-0084,-58.36523349,-34.62260331
2018-0085,-58.39118948,-34.62704273
2018-0086,-58.49019551,-34.65015854
2018-0087,-58.41644362,-34.63023775
2018-0088,-58.50073810,-34.54979510
2018-0089,-58.39626094,-34.63036565
2018-0090,-58.43284809,-34.67051543
2018-0091,-58.52280139,-34.63659934
2018-0092,-58.42336930,-34.59774487
2018-0093,-58.38691681,-34.63105973
2018-0094,-58.41169020,-34.58579880
2018-0095,-58.46739825,-34.65117757
2018-0096,-58.44483258,-34.67152226
2018-0097,-58.43254025,-34.66128115
2018-0098,-58.47199387,-34.69640164
2018-0099,-58.46411215,-34.62925068
2018-0100,-58.36217754,-34.62367156
2018-0101,-58.48098594,-34.54073130
2018-0102,-58.41083404,-34.64640709
2018-0103,-58.44609828,-34.64446729
2018-0104,-58.37709334,-34.64035082
2018-0105,-58.46963952,-34.63070603
2018-0106,-58.43674281,-34.55161027
2018-0107,-58.40596860,-34.61011987
2018-0108,-58.36154069,-34.60463618
2018-0109,-58.37062179,-34.60066507
2018-0110,-58.43220014,-34.60207186
2018-0111,-58.46958442,-34.64949724
2018-0112,-58.44671397,-34.59970903
2018-0113,-58.47152163,-34.61474911
2018-0114,-58.39032921,-34.61807951
2018-0115,-58.52887773,-34.64297861
2018-0116,-58.49371157,-34.67981324
2018-0117,-58.48266599,-34.66012327
2018-0118,-58.40612253,-34.60774301
2018-0119,-58.43613623,-34.66292532
2018-0120,-58.48250732,-34.57208238
2018-0121,-58.49945705,-34.63743280
2018-0122,-58.47743966,-34.67233407
2018-0123,-58.50251790,-34.67450313
2018-0124,-58.52144411,-34.63682499
2018-0125,-58.41650465,-34.65084045
2018-0126,-58.52994219,-34.64055918
2018-0127,-58.50993046,-34.56919739
2018-0128,-58.52844623,-34.64592873
2018-0129,-58.45021367,-34.58695347
2018-0130,-58.49022072,-34.62770192
2018-0131,-58.36860866,-34.60106568
2018-0132,-58.39490504,-34.57241534
2018-0133,-58.46963952,-34.63070603
2018-0134,-58.42349365,-34.64019887
2018-0135,-58.37471802,-34.61265002
2018-0136,-58.46438789,-34.62913916
2018-0137,-58.38481975,-34.61100424
2018-0138,-58.50751833,-34.62073702
2018-0139,-58.44682986,-34.63888084
2018-0140,-58.36004650,-34.61381341
2018-0141,-58.41509546,-34.62085945
2018-0142,-58.50997604,-34.57251072
2018-0143,-58.48606475,-34.64047818
2019-0001,-58.38526125,-34.57805810
2019-0002,-58.45463662,-34.65082149
2019-0003,-58.49121672,-34.59718073
2019-0004,-58.47325712,-34.65284605
2019-0005,-58.52108101,-34.63382309
2019-0006,-58.41652702,-34.55509606
2019-0007,-58.42891604,-34.61071660
2019-0008,-58.47802293,-34.69156793
2019-0009,-58.37564821,-34.62200207
2019-0010,-58.42668489,-34.56961468
2019-0011,-58.51839930,-34.66252488
2019-0012,-58.48432691,-34.67665828
2019-0013,-58.43383830,-34.64457699
2019-0014,-58.51664939,-34.58657938
2019-0015,-58.49613012,-34.59703502
2019-0016,-58.38313603,-34.63356284
2019-0017,-58.39914719,-34.61632317
2019-0018,-58.44927253,-34.54048625
2019-0019,-58.45049163,-34.55374003
2019-0020,-58.41288952,-34.63572989
2019-0021,-58.45743597,-34.62561234
2019-0022,-58.39123782,-34.62352245
2019-0023,-58.52922765,-34.63637963
2019-0024,-58.37208118,-34.58541957
2019-0025,-58.41458534,-34.60937557
2019-0026,-58.47976785,-34.69153196
2019-0027,-58.39990285,-34.59511714
2019-0028,-58.46051346,-34.60588536
2019-0029,-58.47976785,-34.69153196
2019-0030,-58.45457546,-34.62447891
2019-0031,-58.36951669,-34.59832047
2019-0032,-58.46415322,-34.60443790
2019-0033,-58.36607137,-34.62150748
2019-0034,-58.45537373,-34.65093074
2019-0035,-58.37942637,-34.60053054
2019-0036,-58.43680440,-34.62147504
2019-0037,-58.40778291,-34.61971907
2019-0038,-58.45212523,-34.54628513
2019-0039,-58.46749188,-34.63551751
2019-0040,-58.44263580,-34.63679732
2019-0041,-58.51140289,-34.65846419
2019-0042,-58.38211431,-34.62465368
2019-0043,-58.36951669,-34.59832047
2019-0044,-58.41635217,-34.62036547
2019-0045,-58.41316147,-34.57579669
2019-0046,-58.47617802,-34.53825652
2019-0047,-58.38641783,-34.63330028
2019-0048,-58.45322169,-34.62038137
2019-0049,-58.45849057,-34.56166498
2019-0050,-58.41829559,-34.59411677
2019-0051,-58.36376488,-34.63832093
2019-0053,-58.46442668,-34.66004784
2019-0054,-58.48222035,-34.58428769
2019-0055,-58.36819005,-34.60283208
2019-0056,-58.45877601,-34.62330939
2019-0057,-58.44196498,-34.55760517
2019-0058,-58.50622631,-34.63627822
2019-0059,-58.38410880,-34.63099197
2019-0060,-58.48100602,-34.63504312
2019-0061,-58.45200171,-34.55781320
2019-0062,-58.44462132,-34.56201105
2019-0063,-58.45220688,-34.58711712
2019-0064,-58.45962210,-34.62245140
2019-0065,-58.41970850,-34.65414867
2019-0066,-58.44187596,-34.64938031
2019-0067,-58.49101637,-34.64276621
2019-0068,-58.42493829,-34.66256502
2019-0069,-58.40489318,-34.62930162
2019-0070,-58.42686680,-34.59217875
2019-0071,-58.47961100,-34.65620398
2019-0072,-58.47439934,-34.63524207
2019-0073,-58.46711912,-34.57926018
2019-0074,-58.46514781,-34.53465378
2019-0075,-58.37571078,-34.65584079
2019-0076,-58.37157668,-34.65429986
2019-0077,-58.39811256,-34.58070186
2019-0078,-58.41125934,-34.65417740
2019-0079,-58.41822901,-34.61866836
2019-0080,-58.47617802,-34.53825652
2019-0081,-58.46141281,-34.58623761
2019-0082,-58.42985146,-34.66119740
2019-0083,-58.48457413,-34.65839090
2019-0084,-58.46572884,-34.63628186
2019-0085,-58.49261744,-34.63419130
2019-0086,-58.45283186,-34.58841560
2019-0087,-58.47973681,-34.57418656
2019-0088,-58.40623949,-34.65076549
2019-0089,-58.36244648,-34.63107887
2019-0090,-58.49962423,-34.64868027
2019-0091,-58.44551437,-34.59559816
2019-0092,-58.35608181,-34.63420319
2019-0093,-58.46483679,-34.60907662
2019-0094,-58.44368628,-34.59724326
2019-0095,-58.37864583,-34.62907067
2019-0096,-58.37560352,-34.62726382
2019-0097,-58.47721439,-34.64815069
2019-0098,-58.45134029,-34.58984288
2019-0100,-58.49040794,-34.58368803
2019-0101,-58.42102679,-34.64991178
2019-0102,-58.52219407,-34.64143926
2019-0103,-58.52169422,-34.59471640
2019-0104,-58.47460416,-34.63206174
2019-0105,-58.50512382,-34.61520391
2020-0001,-58.43910409,-34.59213355
2020-0002,-58.45019436,-34.64646409
2020-0003,-58.39337644,-34.60927582
2020-0004,-58.39055614,-34.60919284
2020-0005,-58.41036975,-34.62477021
2020-0006,-58.44925765,-34.65412546
2020-0007,-58.38156850,-34.61648696
2020-0008,-58.40662899,-34.59804521
2020-0009,-58.41985649,-34.60600850
2020-0010,-58.38099833,-34.62214953
2020-0011,-58.41803309,-34.61823178
2020-0012,-58.40604003,-34.61783553
2020-0013,-58.47549929,-34.57994061
2020-0014,-58.51398484,-34.61600366
2020-0015,-58.36797542,-34.62519403
2020-0016,-58.37133616,-34.59879316
2020-0017,-58.39613805,-34.61413568
2020-0018,-58.44903073,-34.54200276
2020-0019,-58.41972364,-34.62846670
2020-0020,-58.40571596,-34.60557123
2020-0021,-58.41451590,-34.59488319
2020-0022,-58.47297505,-34.66245085
2020-0023,-58.35791192,-34.63695178
2020-0024,-58.50801713,-34.65177305
2020-0025,-58.40258477,-34.60975108
2020-0026,.,.
2020-0027,-58.48267426,-34.68454456
2020-0028,-58.44248936,-34.60221948
2020-0029,-58.52909134,-34.63886726
2020-0030,-58.45158942,-34.60646580
2020-0031,-58.49344309,-34.65788529
2020-0032,-58.44259166,-34.59635137
2020-0033,-58.46743471,-34.53476874
2020-0034,-58.41178158,-34.60922259
2020-0035,-58.45068621,-34.63638927
2020-0036,-58.42016954,-34.58778790
2020-0037,-58.43850413,-34.65554754
2020-0038,-58.40617526,-34.58345898
2020-0039,.,.
2020-0040,-58.38526125,-34.57805810
2020-0041,-58.44750470,-34.63491705
2020-0042,-58.46745752,-34.68192648
2020-0043,-58.37202621,-34.59717942
2020-0044,-58.42779702,-34.62207347
2020-0045,-58.46244952,-34.70524971
2020-0046,-58.48440160,-34.60776782
2020-0047,-58.46668375,-34.65174801
2020-0048,-58.44958780,-34.59322448
2020-0049,-58.37533517,-34.59276462
2020-0050,-58.42525456,-34.57866344
2020-0051,-58.48493828,-34.62981124
2020-0052,-58.40480504,-34.60183884
2020-0053,-58.41125934,-34.65417740
2020-0054,-58.39956546,-34.62977080
2020-0055,-58.49005682,-34.57868970
2020-0056,-58.47064556,-34.69843756
2020-0057,-58.47501560,-34.61945902
2020-0058,-58.48727942,-34.63652467
2020-0059,-58.37951690,-34.62794241
2020-0060,-58.47750832,-34.65672199
2020-0061,-58.44927253,-34.54048625
2020-0062,-58.39246272,-34.61253541
2020-0063,-58.52783814,-34.61047001
2020-0065,-58.49332664,-34.54836855
2020-0066,-58.50178784,-34.63593897
2020-0067,-58.41657793,-34.65476216
2020-0068,-58.39731474,-34.58307887
2020-0069,-58.38746381,-34.61790839
2020-0070,-58.39189441,-34.59176378
